epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,393.408,1.34685,1.17555,1.29658,0.65345,0.60669,0.68145,0.34103,1.65597,1.47486,1.52206,0.0005941,0.0005941,0.0005941
43,402.221,1.3657,1.19782,1.30702,0.61404,0.64273,0.67282,0.34288,1.65502,1.41619,1.55885,0.0005842,0.0005842,0.0005842
44,411.243,1.35366,1.20501,1.31858,0.48785,0.65482,0.63064,0.31682,1.65354,1.53273,1.54988,0.0005743,0.0005743,0.0005743
45,420.523,1.32923,1.18035,1.29561,0.59364,0.66994,0.66801,0.34385,1.59625,1.39718,1.52382,0.0005644,0.0005644,0.0005644
46,430.839,1.34483,1.18869,1.30306,0.61989,0.57738,0.62771,0.32375,1.65853,1.5449,1.55432,0.0005545,0.0005545,0.0005545
47,440.955,1.334,1.1753,1.29397,0.55009,0.63957,0.63689,0.32596,1.62195,1.46442,1.52739,0.0005446,0.0005446,0.0005446
48,451.312,1.33242,1.17837,1.30209,0.53022,0.60726,0.59285,0.29837,1.76347,1.5382,1.58924,0.0005347,0.0005347,0.0005347
49,461.855,1.33442,1.16414,1.28974,0.59375,0.651,0.69395,0.35922,1.61162,1.40087,1.50786,0.0005248,0.0005248,0.0005248
50,472.672,1.33052,1.14108,1.29049,0.57965,0.68427,0.67891,0.34626,1.67893,1.41757,1.55334,0.0005149,0.0005149,0.0005149
51,482.683,1.33306,1.16627,1.29389,0.63937,0.66652,0.70941,0.36325,1.61124,1.33908,1.53204,0.000505,0.000505,0.000505
52,492.646,1.32145,1.14276,1.28515,0.57282,0.68139,0.68594,0.35022,1.63445,1.44499,1.52403,0.0004951,0.0004951,0.0004951
53,502.49,1.30665,1.15163,1.28572,0.65427,0.69385,0.71489,0.37836,1.54548,1.34715,1.50598,0.0004852,0.0004852,0.0004852
54,511.359,1.30942,1.15385,1.28583,0.49656,0.64659,0.61633,0.33109,1.6498,1.49574,1.5561,0.0004753,0.0004753,0.0004753
55,520.262,1.3145,1.15172,1.27699,0.58619,0.69858,0.68707,0.35725,1.57078,1.36376,1.48097,0.0004654,0.0004654,0.0004654
